,Src,Lat,Long,Chl-A,Timestamp,Station,Sat Chl-A,Sat Lat,Sat Long
0,BGC,-32.465,185.24200000000002,0.598395,1501372910.0,1,,,
1,BGC,-32.266999999999996,185.3,0.6281950000000001,1502239020.0,2,,,
2,BGC,-32.298,185.25599999999997,0.41529249999999995,1503099470.0,3,,,
3,BGC,-32.56,185.326,0.51482,1503971000.0,4,,,
4,BGC,-32.979,185.25101,0.363909,1504840200.0,5,,,
5,BGC,-33.327,185.05499,0.36199449999999994,1505703510.0,6,,,
6,BGC,-33.478,185.017,0.66342,1506566850.0,7,,,
7,BGC,-33.431999999999995,185.16099999999997,0.19330650000000002,1507429260.0,8,,,
8,BGC,-33.103,185.45799,0.08774850000000001,1508289840.0,9,,,
9,BGC,-32.494,185.47799999999998,0.15027,1509150650.0,10,,,
10,BGC,-31.906999999999996,185.108,0.0920745,1510013960.0,11,,,
11,BGC,-31.564,184.88299999999998,0.097716,1510874200.0,12,,,
12,BGC,-31.394000000000002,184.89301,0.07381449999999999,1511743680.0,13,,,
13,BGC,-31.521,184.87801000000002,0.100163,1512608310.0,14,,,
14,BGC,-31.627,184.718,0.1151925,1513470020.0,15,,,
15,BGC,-31.646,184.38699,0.08352000000000001,1514338740.0,16,,,
16,BGC,-31.764,183.73801,0.1066495,1515201000.0,17,,,
17,BGC,-31.934,182.957,0.063736,1516065420.0,18,,,
18,BGC,-32.192,181.99200000000002,0.08464950000000002,1516931940.0,19,,,
19,BGC,-32.287,181.429,0.08827549999999999,1517793100.0,20,,,
20,BGC,-32.333,181.18099999999998,0.079713,1518655680.0,21,,,
21,BGC,-32.452,181.03,0.09055049999999999,1519517730.0,22,,,
22,BGC,-32.152,181.12399,0.11660299999999998,1520377660.0,23,,,
23,BGC,-31.379,181.459,0.081656,1521236880.0,24,,,
24,BGC,-30.988000000000003,181.14,0.08257,1522097640.0,25,,,
25,BGC,-31.228,181.05,0.09165700000000002,1522960480.0,26,,,
26,BGC,-31.226,181.017,0.1097305,1523826730.0,27,,,
27,BGC,-31.509,180.895,0.156505,1524688620.0,28,,,
28,BGC,-32.054,180.80901,0.130156,1525549790.0,29,,,
29,BGC,-32.427,180.47,0.1502865,1526410890.0,30,,,
30,BGC,-32.556999999999995,180.37198999999998,0.2270775,1527273140.0,31,,,
31,BGC,-32.818000000000005,180.53999,0.57322,1528133400.0,32,,,
32,BGC,-33.098,180.22099,0.3439875,1528993260.0,33,,,
33,BGC,-33.205,180.188,0.58043,1529854270.0,34,,,
34,BGC,-33.052,180.067,0.715765,1530715630.0,35,,,
35,BGC,-33.152,179.56900000000002,0.632885,1531578960.0,36,,,
36,BGC,-33.372,179.769,0.69154,1532439970.0,37,,,
37,BGC,-33.208,180.058,1.1774,1533301680.0,38,,,
38,BGC,-33.238,179.91400000000002,0.799625,1534162930.0,39,,,
39,BGC,-33.109,179.75599999999997,0.815105,1535022050.0,40,,,
40,BGC,-33.346,179.38699,0.9921749999999999,1535887620.0,41,,,
41,BGC,-33.495,178.93900000000002,0.8689450000000001,1536750450.0,42,,,
42,BGC,-33.844,178.09801000000002,1.264755,1537620750.0,43,,,
43,BGC,-34.062,177.57899,1.397985,1538479890.0,44,,,
44,BGC,-34.34,177.201,0.60853,1539339980.0,45,,,
45,BGC,-35.152,176.96599999999998,0.88667,1540200180.0,46,,,
46,BGC,-35.772,177.16901000000001,0.67891,1541061250.0,47,,,
47,BGC,-36.47,177.66901000000001,0.8627,1541926290.0,48,,,
48,BGC,-36.413000000000004,178.58599999999998,0.1420395,1542788040.0,49,,,
49,BGC,-35.92,179.519,0.1778315,1543648870.0,50,,,
50,BGC,-35.727,179.55599999999998,0.09762950000000001,1544513130.0,51,,,
51,BGC,-35.674,179.06900000000002,0.0702335,1545375070.0,52,,,
52,BGC,-35.583,178.37900000000002,0.0660765,1546236030.0,53,,,
53,BGC,-35.851,177.59,0.09064399999999999,1547116620.0,54,,,
54,BGC,-36.679,177.718,0.10035849999999999,1547977420.0,55,,,
